step,sim_time_s,phase,active_gate_index,gate_detected,gate_confidence,pose_confidence,tracking_error_m,x,y,z,vx,vy,vz,yaw_rad,ax_cmd,ay_cmd,az_cmd,yaw_rate_cmd
12,0.6,approach,0,1,0.9996045477014335,0.9995903929112436,1.7999999999999998,9.332919749501173,0.0030875645036606046,-0.00011050269871505746,3.522114722757855,0.006172957139353785,0.002000885239170023,0.0,3.9999874127983754,0.006394231083337064,0.0077337742022356515,0.0
13,0.65,approach,0,1,0.9996175124649955,0.9996012407326862,1.8270261451303798,9.332919749501173,0.0030875645036606046,-0.00011050269871505746,3.522114722757855,0.006172957139353785,0.002000885239170023,0.0,3.9372734194805616,0.002575040991060185,0.004511755139412571,0.0
14,0.7000000000000001,approach,0,1,0.9996298499570362,0.9996126844223588,1.844172792453048,9.332919749501173,0.0030875645036606046,-0.00011050269871505746,3.522114722757855,0.006172957139353785,0.002000885239170023,0.0,3.731029229109697,0.004446853381445984,0.0018663300192074852,0.0
15,0.7500000000000001,approach,0,1,0.9996500437445319,0.9450233320184329,2.2499999999999996,9.332919749501173,0.0030875645036606046,-0.00011050269871505746,3.522114722757855,0.006172957139353785,0.002000885239170023,0.0,3.9999939563938005,0.006007616775468193,0.003501050377823804,0.0
16,0.8000000000000002,approach,0,1,0.9996634817619132,0.9668793919157952,2.2477822373421574,9.332919749501173,0.0030875645036606046,-0.00011050269871505746,3.522114722757855,0.006172957139353785,0.002000885239170023,0.0,3.992780339550796,0.0025015541282544587,0.004321589885075762,0.0
17,0.8500000000000002,approach,0,1,0.9996786042240586,0.9799990768388185,2.235611712951577,9.332919749501173,0.0030875645036606046,-0.00011050269871505746,3.522114722757855,0.006172957139353785,0.002000885239170023,0.0,3.7320069674844527,0.0034787194496560987,0.002884783179825299,0.0
18,0.9000000000000002,approach,0,1,0.9996927297668037,0.9878765380099856,2.700000000000001,9.332919749501173,0.0030875645036606046,-0.00011050269871505746,3.522114722757855,0.006172957139353785,0.002000885239170023,0.0,3.9999976764357768,0.003823712613844125,0.0019919162209184726,0.0
19,0.9500000000000003,approach,0,1,0.9997101599296101,0.9926099867778164,2.668532664931191,9.332919749501173,0.0030875645036606046,-0.00011050269871505746,3.522114722757855,0.006172957139353785,0.002000885239170023,0.0,3.9999976230966654,0.0024490357527091012,0.003607969638446404,0.0
20,1.0000000000000002,approach,0,1,0.9997261479778963,0.9954564512577371,2.6270202333551405,9.332919749501173,0.0030875645036606046,-0.00011050269871505746,3.522114722757855,0.006172957139353785,0.002000885239170023,0.0,3.732336981382595,0.0017947506155414756,0.0028701312835665294,0.0
21,1.0500000000000003,approach,0,1,0.99974775910995,0.997172974398582,3.1500000000000004,9.332919749501173,0.0030875645036606046,-0.00011050269871505746,3.522114722757855,0.006172957139353785,0.002000885239170023,0.0,3.999998335298009,0.0016348817404995258,0.0032626331159476465,0.0
22,1.1000000000000003,approach,0,1,0.9997638724911451,0.9982093336326977,3.089130762555771,9.332919749501173,0.0030875645036606046,-0.00011050269871505746,3.522114722757855,0.006172957139353785,0.002000885239170023,0.0,3.99999649849113,0.002191002838999097,0.004817838235001807,0.0
